Username,Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
ankky.ydv,1,0.0,2,85,0,1,0,0,5,103,98,0
keshavbalesara,1,0.0,2,21,0,0,0,0,12,302,428,0
tarang__08,1,0.2,2,100,0,1,0,0,7,346,401,0
chandrakant6414,1,0.267,2,0,0,1,0,0,9,111,269,0
sai_abhi_9x2,1,0.167,3,84,0,1,0,0,2,129,225,0
dinakar_naga_01,1,0.133,4,69,0,1,0,0,5,114,140,0
singhukki06,1,0.182,2,27,0,1,0,0,4,161,265,0
singh_vineey,1,0.0,3,15,1,1,0,0,2,81,118,0
phantom_dev_1,1,0.077,1,82,0,0,0,0,6,146,248,0
sapiostyle,1,0.0,2,91,0,1,0,0,2,122,153,0
i_am_kamal_yadav01,1,0.111,1,44,0,1,0,0,16,107,152,0
